valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-07-17,25.74,80.18,0,0001,300.26074,98259.25,2.8426512e-05,8.173316e-06,1.0,2.5595474,2.0069628,916.2329
2000-07-18,25.74,80.18,0,0001,299.89868,98097.31,7.610969e-06,0.0,1.0,0.5204267,0.7967267,306.36816
2000-07-19,25.74,80.18,0,0001,299.87744,98066.75,0.0002543924,2.1603764e-06,1.0,-2.4082766,-3.6395483,501.83984
2000-07-20,25.74,80.18,0,0001,299.7202,97921.125,8.9000505e-06,2.242551e-06,1.0,-9.529039,-2.015689,340.4126
2000-07-21,25.74,80.18,0,0001,299.60864,98507.81,0.0,3.3381443e-08,0.0,-2.5616302,7.1026926,1591.4629
2000-07-22,25.74,80.18,0,0001,299.61572,98873.0,0.0,1.6207787e-07,1.0,1.6140985,5.0886126,1424.3569
2000-07-23,25.74,80.18,0,0001,299.0122,98803.81,0.0,0.0,0.0,5.1977415,2.8481817,1133.4543
2000-07-24,25.74,80.18,0,0001,299.64502,98631.75,3.3381443e-08,0.0,1.0,4.92962,1.7362709,935.6201
2000-07-25,25.74,80.18,0,0001,300.24536,98752.56,0.0,0.0,0.0,5.9574127,1.6469364,1583.7336
2000-07-26,25.74,80.18,0,0001,299.3401,98689.625,0.00013733946,4.29301e-05,1.0,6.615796,-1.2290344,1689.1396
2000-07-27,25.74,80.18,0,0001,298.48022,98637.5,8.7953085e-05,1.7133163e-05,1.0,1.3584862,-1.9611511,538.574
2000-07-28,25.74,80.18,0,0001,299.19092,98634.625,1.3867157e-05,7.906286e-06,1.0,0.5185964,-2.4205446,470.79614
2000-07-29,25.74,80.18,0,0001,299.52612,98730.31,0.0,1.955298e-06,1.0,1.5555019,-0.3163697,533.1008
2000-07-30,25.74,80.18,0,0001,300.04102,98844.875,7.439374e-05,1.9449344e-06,1.0,2.1174698,0.9976607,566.64355
2000-07-31,25.74,80.18,0,0001,298.9746,98742.69,0.0002575894,2.9737028e-05,1.0,3.8673544,0.636176,135.20645
2000-08-01,25.74,80.18,0,0001,300.32837,98600.875,0.00014882848,1.2504813e-05,1.0,4.8737726,2.629465,826.5879
2000-08-02,25.74,80.18,0,0001,300.50415,98676.69,0.0,0.0,0.0,7.6370153,2.142622,1391.418
2000-08-03,25.74,80.18,0,0001,300.11548,98735.81,0.0,0.0,0.0,7.596243,1.4797602,2232.9702
2000-08-04,25.74,80.18,0,0001,300.72217,98816.56,0.0,0.0,0.0,7.007025,1.6335506,1492.0796
2000-08-05,25.74,80.18,0,0001,301.23828,98831.81,0.0,0.0,0.0,7.2610226,0.74328834,1494.6062
2000-08-06,25.74,80.18,0,0001,301.36206,98691.75,0.0,0.0,0.0,6.106847,1.1291904,
2000-08-07,25.74,80.18,0,0001,302.70264,98732.19,0.0,0.0,0.0,4.9774237,0.5439209,1522.7163
2000-08-08,25.74,80.18,0,0001,303.0515,98653.31,0.0,0.0,0.0,5.945244,-0.28112358,1977.4182
2000-08-09,25.74,80.18,0,0001,300.48047,98660.69,0.0,5.237582e-05,1.0,0.6346394,2.358346,1656.0342
